date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999986033478,1.0000000013336585,46303774477
2024-12-25,1.0,0.9999999983920601,1.0000000016759139,46303774477
2024-12-26,1.0,0.9999999981364686,1.0000000019904354,46303774477
2024-12-27,1.0,0.9999999975314441,1.0000000027551565,46303774477
2024-12-28,1.0,0.9999999963600542,1.0000000041006383,46303774477
2024-12-29,1.0,0.9999999948845437,1.0000000055858769,46303774477
2024-12-30,1.0,0.9999999933940776,1.000000007584905,46303774477
2024-12-31,1.0,0.999999991202317,1.0000000095919208,46303774477
2025-01-01,1.0,0.9999999889555564,1.000000011703515,46303774477
2025-01-02,1.0,0.9999999874742409,1.0000000137761131,46303774477
2025-01-03,1.0,0.9999999847567332,1.0000000162701947,46303774477
2025-01-04,1.0,0.9999999818179865,1.0000000192891183,46303774477
2025-01-05,1.0,0.999999979994627,1.0000000219719218,46303774477
2025-01-06,1.0,0.9999999761167563,1.0000000259955057,46303774477
2025-01-07,1.0,0.9999999726208444,1.0000000287966189,46303774477
2025-01-08,1.0,0.9999999698877434,1.0000000327521186,46303774477
2025-01-09,1.0,0.9999999665706875,1.0000000365733897,46303774477
2025-01-10,1.0,0.9999999619504131,1.0000000390253518,46303774477
2025-01-11,1.0,0.9999999572559078,1.000000042239102,46303774477
2025-01-12,1.0,0.9999999529781491,1.0000000448428286,46303774477
2025-01-13,1.0,0.9999999494686023,1.0000000485007101,46303774477
2025-01-14,1.0,0.9999999451017081,1.0000000518526238,46303774477
2025-01-15,1.0,0.999999940701008,1.0000000559815425,46303774477
2025-01-16,1.0,0.9999999360613938,1.000000059275023,46303774477
2025-01-17,1.0,0.9999999328691681,1.000000061890332,46303774477
2025-01-18,1.0,0.9999999279972671,1.0000000674892913,46303774477
2025-01-19,1.0,0.9999999239663745,1.0000000716483635,46303774477
2025-01-20,1.0,0.9999999192260304,1.0000000755213203,46303774477
2025-03-04,1.999994711185436,1.9999947111811744,1.9999947111897058,46303862950
2025-03-05,1.9999947111854357,1.9999947111807284,1.9999947111911223,46303862950
2025-03-06,1.9999947111854357,1.9999947111804728,1.9999947111901868,46303862950
2025-03-07,1.9999947111854357,1.999994711180116,1.9999947111912684,46303862950
2025-03-08,1.9999947111854357,1.9999947111801464,1.9999947111916543,46303862950
2025-03-09,1.9999947111854357,1.9999947111793683,1.99999471119248,46303862950
2025-03-10,1.9999947111854357,1.9999947111783074,1.9999947111949097,46303862950
2025-03-11,1.9999947111854355,1.999994711171842,1.9999947112477312,46303862950
2025-03-12,1.9999947111854355,1.9999947111355987,1.999994711318412,46303862950
2025-03-13,1.9999947111854355,1.9999947110676481,1.999994711405081,46303862950
2025-03-14,1.9999947111854355,1.9999947109616103,1.999994711476482,46303862950
2025-03-15,1.9999947111854355,1.9999947108464953,1.999994711580025,46303862950
2025-03-16,1.9999947111854353,1.9999947106592129,1.9999947117405774,46303862950
2025-03-17,1.9999947111854353,1.9999947105154194,1.9999947119517485,46303862950
2025-03-18,1.9999947111854353,1.99999471039964,1.9999947120883812,46303862950
2025-03-19,1.9999947111854353,1.999994710180812,1.9999947122764357,46303862950
2025-03-20,1.9999947111854353,1.9999947100022692,1.999994712545111,46303862950
2025-03-21,1.999994711185435,1.9999947098296287,1.9999947128017082,46303862950
2025-03-22,1.999994711185435,1.9999947096144028,1.9999947130467928,46303862950
2025-03-23,1.999994711185435,1.999994709299711,1.9999947132571827,46303862950
2025-03-24,1.999994711185435,1.999994708974116,1.9999947134836513,46303862950
2025-03-25,1.999994711185435,1.9999947087771155,1.9999947137050156,46303862950
2025-03-26,1.9999947111854348,1.9999947084868832,1.9999947139321403,46303862950
2025-03-27,1.9999947111854348,1.9999947082552336,1.999994714179485,46303862950
2025-03-28,1.9999947111854348,1.9999947079209293,1.999994714473531,46303862950
2025-03-29,1.9999947111854348,1.9999947077336837,1.9999947147175863,46303862950
2025-03-30,1.9999947111854348,1.9999947074371802,1.9999947150054647,46303862950
2025-03-31,1.9999947111854348,1.999994707191204,1.9999947152105495,46303862950
2025-03-04,5.434594712287723,1.2228231075311686,9.465183248695617,46303877432
2025-03-05,4.865590756421664,0.9186853397158324,9.12907560042179,46303877432
2025-03-06,4.296586800555591,0.5398943154891203,8.720138112407593,46303877432
2025-03-07,3.7275828446895325,-0.2925534957136547,7.695261551717908,46303877432
2025-03-08,3.158578888823474,-0.8830985367076396,7.127989020015766,46303877432
2025-03-09,2.589574932957415,-1.413275855938916,6.484851951996338,46303877432
2025-03-10,2.0205709770913565,-2.4694923838750644,6.230205182248417,46303877432
2025-03-11,1.4515670212252978,-2.5273894821477207,5.8620035745589325,46303877432
2025-03-12,0.882563065359232,-3.3014162821501767,5.018144345288517,46303877432
2025-03-13,0.31355910949317334,-3.866039510944226,4.3346392711843045,46303877432
2025-03-14,-0.25544484637288534,-4.380762882489458,3.89467820609347,46303877432
2025-03-15,-0.824448802238944,-4.971740594376636,3.184944874568486,46303877432
2025-03-16,-1.3934527581050027,-5.589780679468175,2.4134307377287496,46303877432
2025-03-17,-1.9624567139710614,-6.125892248431686,1.9201688481958687,46303877432
2025-03-18,-2.5314606698371342,-6.671015506536902,1.491447583893162,46303877432
2025-03-19,-3.100464625703193,-7.4340289487217905,0.9236607359629929,46303877432
2025-03-20,-3.6694685815692516,-7.5466688029069955,0.3735246710234729,46303877432
2025-03-21,-4.23847253743531,-8.400316231479293,-0.11820878880825547,46303877432
2025-03-22,-4.807476493301369,-8.970341055631765,-0.6337327762055964,46303877432
